OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Area_Land_Square_Miles,Area_Water_Square_Miles,Population_Total,Population_Density_PerLandSquareMile
492,8123002209,"Census Tract 22.09, Weld County, Colorado",8123002209,WELD,15.86,0,1662,104.8
493,8123002206,"Census Tract 22.06, Weld County, Colorado",8123002206,WELD,1.64,0,3352,2043.9
494,8123002205,"Census Tract 22.05, Weld County, Colorado",8123002205,WELD,0.97,0,5157,5316.5
496,8014030200,"Census Tract 302, Broomfield County, Colorado",8014030200,BROOMFIELD,0.99,0.01,1901,1920.2
497,8014031100,"Census Tract 311, Broomfield County, Colorado",8014031100,BROOMFIELD,5.55,0.25,4655,838.7
498,8014031300,"Census Tract 313, Broomfield County, Colorado",8014031300,BROOMFIELD,4.07,0.02,2649,650.9
499,8014031400,"Census Tract 314, Broomfield County, Colorado",8014031400,BROOMFIELD,9.06,0.05,4711,520
500,8014030600,"Census Tract 306, Broomfield County, Colorado",8014030600,BROOMFIELD,0.98,0.02,6282,6410.2
501,8014030900,"Census Tract 309, Broomfield County, Colorado",8014030900,BROOMFIELD,2.06,0.02,5904,2866
502,8014030800,"Census Tract 308, Broomfield County, Colorado",8014030800,BROOMFIELD,0.99,0,5665,5722.2
503,8014031000,"Census Tract 310, Broomfield County, Colorado",8014031000,BROOMFIELD,1.29,0.02,5567,4315.5
504,8123002204,"Census Tract 22.04, Weld County, Colorado",8123002204,WELD,0.75,0,2098,2797.3
505,8123002203,"Census Tract 22.03, Weld County, Colorado",8123002203,WELD,7.64,0.27,1884,246.6
506,8123002014,"Census Tract 20.14, Weld County, Colorado",8123002014,WELD,0.92,0,1613,1753.3
507,8123002017,"Census Tract 20.17, Weld County, Colorado",8123002017,WELD,2.42,0,625,258.3
508,8123002011,"Census Tract 20.11, Weld County, Colorado",8123002011,WELD,1.49,0.01,1173,787.2
509,8123002015,"Census Tract 20.15, Weld County, Colorado",8123002015,WELD,2.49,0.01,1217,488.8
510,8123001907,"Census Tract 19.07, Weld County, Colorado",8123001907,WELD,19.21,0.12,2968,154.5
511,8123001905,"Census Tract 19.05, Weld County, Colorado",8123001905,WELD,2.71,0,4633,1709.6
512,8123002021,"Census Tract 20.21, Weld County, Colorado",8123002021,WELD,7.01,0.03,659,94
513,8014030500,"Census Tract 305, Broomfield County, Colorado",8014030500,BROOMFIELD,1.89,0.09,5787,3061.9
515,8014030300,"Census Tract 303, Broomfield County, Colorado",8014030300,BROOMFIELD,1.03,0.02,3609,3503.9
516,8014030000,"Census Tract 300, Broomfield County, Colorado",8014030000,BROOMFIELD,0.62,0,3725,6008.1
517,8014030100,"Census Tract 301, Broomfield County, Colorado",8014030100,BROOMFIELD,0.42,0,2421,5764.3
518,8014030400,"Census Tract 304, Broomfield County, Colorado",8014030400,BROOMFIELD,0.89,0.05,3908,4391
519,8014031200,"Census Tract 312, Broomfield County, Colorado",8014031200,BROOMFIELD,2.35,0,4389,1867.7
520,8014030700,"Census Tract 307, Broomfield County, Colorado",8014030700,BROOMFIELD,0.53,0.01,3110,5867.9
521,8123002020,"Census Tract 20.20, Weld County, Colorado",8123002020,WELD,1.97,0,5500,2791.9
522,8123002016,"Census Tract 20.16, Weld County, Colorado",8123002016,WELD,5.86,0.06,3326,567.6
523,8123002018,"Census Tract 20.18, Weld County, Colorado",8123002018,WELD,1,0,1613,1613
524,8123002019,"Census Tract 20.19, Weld County, Colorado",8123002019,WELD,5.62,0.03,4829,859.3
525,8123002008,"Census Tract 20.08, Weld County, Colorado",8123002008,WELD,1.49,0,5471,3671.8
526,8123002007,"Census Tract 20.07, Weld County, Colorado",8123002007,WELD,4.35,0,6754,1552.6
527,8123002005,"Census Tract 20.05, Weld County, Colorado",8123002005,WELD,7.08,0.01,781,110.3
528,8123002004,"Census Tract 20.04, Weld County, Colorado",8123002004,WELD,3.94,0.01,4408,1118.8
529,8123000704,"Census Tract 7.04, Weld County, Colorado",8123000704,WELD,0.67,0.11,1007,1503
530,8123000703,"Census Tract 7.03, Weld County, Colorado",8123000703,WELD,2.1,0.03,6977,3322.4
531,8123001006,"Census Tract 10.06, Weld County, Colorado",8123001006,WELD,1.05,0,4885,4652.4
532,8123001413,"Census Tract 14.13, Weld County, Colorado",8123001413,WELD,0.55,0,2742,4985.5
533,8123001415,"Census Tract 14.15, Weld County, Colorado",8123001415,WELD,0.86,0,3267,3798.8
